,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
18,0.552925,0.156035,0.647621,0.436204,0.292589,0.841878,0.579577,0.541063,0.738695,0.363236,0.559433,0.738824,0.856239,0.823144,0.590935,0.247723,0.873126,0.930020,1.000000,0.742111,0.457957,0.572142,0.812891,0.944129,0.632384,0.438446,0.459508,0.462254,0.294310,0.361581,0.253209,0.512528,0.018390,0.868549,0.661412,0.640543,0.586648,0.614223,0.670140,0.633990
19,0.778009,0.534746,0.673412,0.739476,0.605684,0.705130,0.731290,0.725888,0.695285,0.688985,0.746943,0.717860,0.621553,0.643429,0.740855,0.625254,0.697012,0.695930,0.742111,1.000000,0.818497,0.749362,0.799623,0.793438,0.739510,0.686762,0.741934,0.637979,0.441365,0.683430,0.619287,0.768725,0.474036,0.734907,0.791035,0.833284,0.737584,0.762633,0.799175,0.792951
20,0.691012,0.536959,0.604329,0.806939,0.644334,0.467504,0.604565,0.683729,0.644262,0.799996,0.732340,0.606137,0.384710,0.437693,0.777306,0.722311,0.506368,0.399092,0.457957,0.818497,1.000000,0.781813,0.585258,0.521654,0.697004,0.804255,0.821895,0.746306,0.315574,0.718848,0.757186,0.809068,0.633406,0.549867,0.638727,0.711781,0.638354,0.706538,0.713617,0.702141
21,0.725588,0.652740,0.656678,0.747621,0.772279,0.587036,0.753457,0.711961,0.512618,0.627184,0.721314,0.636240,0.482626,0.439493,0.629078,0.704274,0.716705,0.533174,0.572142,0.749362,0.781813,1.000000,0.771475,0.660426,0.624842,0.673053,0.696451,0.743854,0.532882,0.671380,0.649317,0.681766,0.652465,0.566632,0.768045,0.760856,0.789340,0.753800,0.786377,0.806775
22,0.730950,0.483709,0.674756,0.619586,0.587097,0.777129,0.751726,0.700390,0.588374,0.455011,0.635409,0.718338,0.674656,0.610079,0.554658,0.481129,0.811453,0.825375,0.812891,0.799623,0.585258,0.771475,1.000000,0.871846,0.655816,0.577906,0.601870,0.546191,0.473408,0.572271,0.501488,0.644337,0.349669,0.697696,0.734355,0.731772,0.710025,0.713214,0.767418,0.728050
23,0.622880,0.306520,0.628084,0.484188,0.417231,0.834491,0.664620,0.616508,0.671722,0.402688,0.608283,0.732691,0.783421,0.780186,0.608687,0.377431,0.838042,0.892905,0.944129,0.793438,0.521654,0.660426,0.871846,1.000000,0.614781,0.460790,0.499193,0.492541,0.360720,0.449019,0.343661,0.575539,0.144552,0.812927,0.717522,0.694969,0.654414,0.665428,0.743320,0.724759
24,0.683711,0.492514,0.665444,0.780431,0.541300,0.626379,0.694530,0.672235,0.788495,0.785880,0.829975,0.737027,0.679208,0.660032,0.809951,0.689216,0.588598,0.547148,0.632384,0.739510,0.697004,0.624842,0.655816,0.614781,1.000000,0.793875,0.760446,0.720121,0.533725,0.846805,0.693005,0.806298,0.440967,0.665511,0.727720,0.752809,0.691892,0.746842,0.760361,0.719554
25,0.635375,0.580361,0.695857,0.803362,0.645782,0.415071,0.616438,0.728448,0.730078,0.833709,0.765662,0.649675,0.435212,0.478407,0.771766,0.745333,0.464248,0.354172,0.438446,0.686762,0.804255,0.673053,0.577906,0.460790,0.793875,1.000000,0.889762,0.776114,0.451714,0.791337,0.913883,0.857437,0.643199,0.487900,0.587421,0.643541,0.622950,0.682274,0.672248,0.612013
26,0.730984,0.613132,0.715364,0.817738,0.685018,0.494509,0.654205,0.772844,0.700232,0.845465,0.809938,0.701956,0.463934,0.503246,0.808534,0.769220,0.505422,0.420763,0.459508,0.741934,0.821895,0.696451,0.601870,0.499193,0.760446,0.889762,1.000000,0.854142,0.478986,0.763002,0.851159,0.926600,0.623206,0.556454,0.642585,0.707115,0.663939,0.699782,0.709448,0.675296
27,0.633559,0.586975,0.710015,0.783529,0.688672,0.460514,0.651984,0.709521,0.665373,0.788728,0.814985,0.737032,0.501296,0.518358,0.762204,0.764089,0.562319,0.393098,0.462254,0.637979,0.746306,0.743854,0.546191,0.492541,0.720121,0.776114,0.854142,1.000000,0.598237,0.714881,0.719643,0.786653,0.595394,0.528925,0.652355,0.682847,0.675568,0.671510,0.686348,0.697289
